name,Piscinas,Habitantes,Piscinas por cada 100 habitantes
Berrocalejo (Cáceres),11,91,12.09
Berzocana (Cáceres),12,437,2.75
Bohonal de Ibor (Cáceres),10,500,2
Botija (Cáceres),3,187,1.6
Brozas (Cáceres),23,1867,1.23
Cabañas del Castillo (Cáceres),10,434,2.3
Cabezabellosa (Cáceres),11,349,3.15
Cabezuela del Valle (Cáceres),41,2151,1.91
Cáceres (Cáceres),1493,96068,1.55
Cachorrilla (Cáceres),5,78,6.41
Cadalso (Cáceres),4,428,0.93
Calzadilla (Cáceres),12,490,2.45
Caminomorisco (Cáceres),14,1185,1.18
Campillo de Deleitosa (Cáceres),4,62,6.45
Campo Lugar (Cáceres),16,856,1.87
Cañamero (Cáceres),100,1634,6.12
Cañaveral (Cáceres),85,1019,8.34
Carbajo (Cáceres),3,208,1.44
Carcaboso (Cáceres),48,1110,4.32
Carrascalejo (Cáceres),15,230,6.52
Casar de Cáceres (Cáceres),245,4500,5.44
Casar de Palomero (Cáceres),54,1124,4.8
Casares de las Hurdes (Cáceres),3,386,0.78
Casas de Don Antonio (Cáceres),8,163,4.91
Casas de Don Gómez (Cáceres),10,301,3.32
Casas del Castañar (Cáceres),185,581,31.84
Casas del Monte (Cáceres),18,815,2.21
Casas de Millán (Cáceres),14,585,2.39
Casas de Miravete (Cáceres),2,140,1.43
Casatejada (Cáceres),12,1381,0.87
Casillas de Coria (Cáceres),12,375,3.2
Castañar de Ibor (Cáceres),57,1053,5.41
Ceclavín (Cáceres),26,1854,1.4
Cedillo (Cáceres),9,449,2
Cilleros (Cáceres),35,1650,2.12
Collado de la Vera (Cáceres),31,190,16.32
Conquista de la Sierra (Cáceres),3,185,1.62
Coria (Cáceres),595,12531,4.75
Cuacos de Yuste (Cáceres),37,846,4.37
Cumbre, La (Cáceres),11,864,1.27
Deleitosa (Cáceres),26,728,3.57
Descargamaría (Cáceres),2,120,1.67
Eljas (Cáceres),41,915,4.48
Escurial (Cáceres),9,849,1.06
Fresnedoso de Ibor (Cáceres),34,275,12.36
Galisteo (Cáceres),12,953,1.26
Garciaz (Cáceres),12,725,1.66
Garganta, La (Cáceres),5,392,1.28
Garganta la Olla (Cáceres),17,984,1.73
Gargüera (Cáceres),8,128,6.25
Garrovillas de Alconétar (Cáceres),58,2054,2.82
Garvín (Cáceres),7,98,7.14
Gata (Cáceres),24,1493,1.61
Gordo, El (Cáceres),59,363,16.25
Granja, La (Cáceres),5,335,1.49
Guadalupe (Cáceres),37,1887,1.96
Guijo de Coria (Cáceres),3,204,1.47
Guijo de Galisteo (Cáceres),12,1529,0.78
Guijo de Granadilla (Cáceres),23,536,4.29
Guijo de Santa Bárbara (Cáceres),30,387,7.75
Herguijuela (Cáceres),21,299,7.02
Hernán-Pérez (Cáceres),8,457,1.75
Herrera de Alcántara (Cáceres),5,255,1.96
Herreruela (Cáceres),10,342,2.92
Hervás (Cáceres),180,4052,4.44
Higuera (Cáceres),2,102,1.96
Hinojal (Cáceres),7,396,1.77
Holguera (Cáceres),8,647,1.24
Hoyos (Cáceres),17,906,1.88
Huélaga (Cáceres),12,216,5.56
Ibahernando (Cáceres),15,564,2.66
Jaraicejo (Cáceres),4,489,0.82
Jaraíz de la Vera (Cáceres),112,6477,1.73
Jarandilla de la Vera (Cáceres),151,2868,5.26
Jarilla (Cáceres),11,141,7.8
Jerte (Cáceres),30,1266,2.37
Ladrillar (Cáceres),3,201,1.49
Logrosán (Cáceres),61,2007,3.04
Losar de la Vera (Cáceres),64,2749,2.33
Madrigal de la Vera (Cáceres),93,1595,5.83
Madrigalejo (Cáceres),15,1759,0.85
Madroñera (Cáceres),60,2595,2.31
Majadas (Cáceres),12,1328,0.9
Malpartida de Cáceres (Cáceres),281,4156,6.76
Malpartida de Plasencia (Cáceres),163,4602,3.54
Marchagaz (Cáceres),2,217,0.92
Mata de Alcántara (Cáceres),2,309,0.65
Membrío (Cáceres),20,634,3.15
Mesas de Ibor (Cáceres),7,175,4
Miajadas (Cáceres),151,9685,1.56
Millanes (Cáceres),33,256,12.89
Mirabel (Cáceres),14,653,2.14
Mohedas de Granadilla (Cáceres),12,827,1.45
Monroy (Cáceres),15,969,1.55
Montánchez (Cáceres),39,1732,2.25
Montehermoso (Cáceres),97,5731,1.69
Moraleja (Cáceres),124,6792,1.83
Morcillo (Cáceres),6,378,1.59
Navaconcejo (Cáceres),68,2003,3.39
Navalmoral de la Mata (Cáceres),264,17170,1.54
Navalvillar de Ibor (Cáceres),8,416,1.92
Navas del Madroño (Cáceres),19,1336,1.42
Navezuelas (Cáceres),19,646,2.94
Nuñomoral (Cáceres),11,1311,0.84
Oliva de Plasencia (Cáceres),35,310,11.29
Palomero (Cáceres),5,411,1.22
Pasarón de la Vera (Cáceres),15,641,2.34
Pedroso de Acim (Cáceres),8,85,9.41
Peraleda de la Mata (Cáceres),79,1390,5.68
Peraleda de San Román (Cáceres),14,277,5.05
Perales del Puerto (Cáceres),19,941,2.02
Pescueza (Cáceres),3,151,1.99
Pesga, La (Cáceres),5,1065,0.47
Piedras Albas (Cáceres),8,149,5.37
Pinofranqueado (Cáceres),20,1748,1.14
Piornal (Cáceres),2,1530,0.13
Plasencia (Cáceres),555,40141,1.38
Plasenzuela (Cáceres),10,487,2.05
Portaje (Cáceres),7,362,1.93
Portezuelo (Cáceres),10,225,4.44
Pozuelo de Zarzón (Cáceres),9,471,1.91
Puerto de Santa Cruz (Cáceres),5,323,1.55
Rebollar (Cáceres),26,213,12.21
Riolobos (Cáceres),8,1248,0.64
Robledillo de la Vera (Cáceres),10,272,3.68
Robledillo de Trujillo (Cáceres),4,369,1.08
Robledollano (Cáceres),34,315,10.79
Romangordo (Cáceres),2,259,0.77
Ruanes (Cáceres),1,65,1.54
Salorino (Cáceres),16,581,2.75
Salvatierra de Santiago (Cáceres),8,323,2.48
San Martín de Trevejo (Cáceres),27,788,3.43
Santa Ana (Cáceres),1,249,0.4
Santa Cruz de la Sierra (Cáceres),5,324,1.54
Santa Cruz de Paniagua (Cáceres),7,315,2.22
Santa Marta de Magasca (Cáceres),9,271,3.32
Santiago de Alcántara (Cáceres),6,522,1.15
Santiago del Campo (Cáceres),6,259,2.32
Santibáñez el Alto (Cáceres),23,382,6.02
Santibáñez el Bajo (Cáceres),6,763,0.79
Saucedilla (Cáceres),68,858,7.93
Segura de Toro (Cáceres),3,187,1.6
Serradilla (Cáceres),48,1568,3.06
Serrejón (Cáceres),9,420,2.14
Sierra de Fuentes (Cáceres),207,1996,10.37
Talaván (Cáceres),8,832,0.96
Talaveruela de la Vera (Cáceres),16,306,5.23
Talayuela (Cáceres),103,7345,1.4
Tejeda de Tiétar (Cáceres),12,806,1.49
Toril (Cáceres),8,164,4.88
Tornavacas (Cáceres),11,1143,0.96
Torno, El (Cáceres),57,884,6.45
Torrecilla de los Ángeles (Cáceres),11,622,1.77
Torrecillas de la Tiesa (Cáceres),11,1071,1.03
Torre de Don Miguel (Cáceres),10,461,2.17
Torre de Santa María (Cáceres),12,532,2.26
Torrejoncillo (Cáceres),133,2975,4.47
Torrejón el Rubio (Cáceres),13,571,2.28
Torremenga (Cáceres),26,610,4.26
Torremocha (Cáceres),5,840,0.6
Torreorgaz (Cáceres),53,1677,3.16
Torrequemada (Cáceres),8,570,1.4
Trujillo (Cáceres),253,9193,2.75
Valdastillas (Cáceres),21,334,6.29
Valdecañas de Tajo (Cáceres),5,99,5.05
Valdefuentes (Cáceres),13,1230,1.06
Valdehúncar (Cáceres),12,178,6.74
Valdelacasa de Tajo (Cáceres),21,361,5.82
Valdemorales (Cáceres),1,197,0.51
Valdeobispo (Cáceres),21,664,3.16
Valencia de Alcántara (Cáceres),304,5439,5.59
Valverde de la Vera (Cáceres),27,460,5.87
Valverde del Fresno (Cáceres),81,2349,3.45
Viandar de la Vera (Cáceres),13,233,5.58
Villa del Campo (Cáceres),3,502,0.6
Villa del Rey (Cáceres),3,136,2.21
Villamesías (Cáceres),3,260,1.15
Villamiel (Cáceres),12,426,2.82
Villanueva de la Sierra (Cáceres),8,433,1.85
Villanueva de la Vera (Cáceres),120,2046,5.87
Villar del Pedroso (Cáceres),67,618,10.84
Villar de Plasencia (Cáceres),2,234,0.85
Villasbuenas de Gata (Cáceres),8,341,2.35
Zarza de Granadilla (Cáceres),41,1823,2.25
Zarza de Montánchez (Cáceres),7,550,1.27
Zarza la Mayor (Cáceres),3,1258,0.24
Zorita (Cáceres),14,1377,1.02
Rosalejo (Cáceres),13,1362,0.95
Vegaviana (Cáceres),9,868,1.04
Alagón del Río (Cáceres),7,934,0.75
Tiétar (Cáceres),6,921,0.65
Pueblonuevo de Miramontes (Cáceres),14,814,1.72
Alcalá de los Gazules (Cádiz),50,5242,0.95
Alcalá del Valle (Cádiz),38,5123,0.74
Algar (Cádiz),48,1413,3.4
Algeciras (Cádiz),1770,121414,1.46
Algodonales (Cádiz),182,5590,3.26
Arcos de la Frontera (Cádiz),1246,30741,4.05
Barbate (Cádiz),332,22551,1.47
Barrios, Los (Cádiz),807,23513,3.43
Benaocaz (Cádiz),50,680,7.35
Bornos (Cádiz),86,7750,1.11
Bosque, El (Cádiz),68,2167,3.14
Cádiz (Cádiz),17,116979,0.01
Castellar de la Frontera (Cádiz),28,3013,0.93
Conil de la Frontera (Cádiz),2396,22427,10.68
Chiclana de la Frontera (Cádiz),8829,83831,10.53
Chipiona (Cádiz),517,19068,2.71
Espera (Cádiz),49,3903,1.26
Gastor, El (Cádiz),89,1726,5.16
Grazalema (Cádiz),32,2053,1.56
Jerez de la Frontera (Cádiz),1775,212879,0.83
Jimena de la Frontera (Cádiz),278,9773,2.84
Línea de la Concepción, La (Cádiz),1115,62940,1.77
Medina-Sidonia (Cádiz),337,11658,2.89
Olvera (Cádiz),189,8124,2.33
Paterna de Rivera (Cádiz),46,5530,0.83
Prado del Rey (Cádiz),91,5636,1.61
Puerto de Santa María, El (Cádiz),3787,88364,4.29
Puerto Real (Cádiz),864,41650,2.07
Puerto Serrano (Cádiz),135,6996,1.93
Rota (Cádiz),365,28848,1.27
San Fernando (Cádiz),129,95174,0.14
Sanlúcar de Barrameda (Cádiz),1487,68037,2.19
San Roque (Cádiz),2530,30472,8.3
Setenil de las Bodegas (Cádiz),127,2732,4.65
Tarifa (Cádiz),567,18169,3.12
Torre Alháquime (Cádiz),15,804,1.87
Trebujena (Cádiz),67,7054,0.95
Ubrique (Cádiz),169,16615,1.02
Vejer de la Frontera (Cádiz),402,12739,3.16
Villaluenga del Rosario (Cádiz),1,438,0.23
Villamartín (Cádiz),255,12127,2.1
Zahara (Cádiz),30,1400,2.14
Benalup-Casas Viejas (Cádiz),155,6969,2.22
San José del Valle (Cádiz),33,4402,0.75
Atzeneta del Maestrat (Castellón/Castelló),39,1271,3.07
Aín (Castellón/Castelló),5,125,4
Albocàsser (Castellón/Castelló),23,1234,1.86
Alcalà de Xivert (Castellón/Castelló),965,6679,14.45
Alcora, l' (Castellón/Castelló),702,10430,6.73
Alcudia de Veo (Castellón/Castelló),3,201,1.49
Alfondeguilla (Castellón/Castelló),22,862,2.55
Algimia de Almonacid (Castellón/Castelló),2,259,0.77
Almassora (Castellón/Castelló),720,25831,2.79
Almedíjar (Castellón/Castelló),3,256,1.17
Almenara (Castellón/Castelló),77,5900,1.31
Altura (Castellón/Castelló),140,3509,3.99
Arañuel (Castellón/Castelló),1,146,0.68
Argelita (Castellón/Castelló),2,113,1.77
Artana (Castellón/Castelló),49,1958,2.5
Ayódar (Castellón/Castelló),5,164,3.05
Azuébar (Castellón/Castelló),8,324,2.47
Barracas (Castellón/Castelló),3,169,1.78
Betxí (Castellón/Castelló),163,5709,2.86
Bejís (Castellón/Castelló),13,373,3.49
Benafer (Castellón/Castelló),12,156,7.69
Benafigos (Castellón/Castelló),7,149,4.7
Benassal (Castellón/Castelló),12,1084,1.11
Benicarló (Castellón/Castelló),657,26744,2.46
Benicasim/Benicàssim (Castellón/Castelló),2195,18055,12.16
Benlloch (Castellón/Castelló),43,1036,4.15
Borriol (Castellón/Castelló),754,5322,14.17
Borriana/Burriana (Castellón/Castelló),636,34544,1.84
Cabanes (Castellón/Castelló),137,2889,4.74
Càlig (Castellón/Castelló),94,1945,4.83
Canet lo Roig (Castellón/Castelló),7,696,1.01
Castellfort (Castellón/Castelló),1,192,0.52
Castellnovo (Castellón/Castelló),41,946,4.33
Castellón de la Plana/Castelló de la Plana (Castellón/Castelló),3333,170888,1.95
Castillo de Villamalefa (Castellón/Castelló),5,101,4.95
Catí (Castellón/Castelló),4,742,0.54
Caudiel (Castellón/Castelló),14,647,2.16
Cervera del Maestre (Castellón/Castelló),29,599,4.84
Cinctorres (Castellón/Castelló),3,399,0.75
Cirat (Castellón/Castelló),8,206,3.88
Cortes de Arenoso (Castellón/Castelló),1,317,0.32
Costur (Castellón/Castelló),17,511,3.33
Coves de Vinromà, les (Castellón/Castelló),19,1822,1.04
Culla (Castellón/Castelló),6,504,1.19
Xert (Castellón/Castelló),7,725,0.97
Chilches/Xilxes (Castellón/Castelló),87,2670,3.26
Chodos/Xodos (Castellón/Castelló),2,113,1.77
Chóvar (Castellón/Castelló),11,297,3.7
Eslida (Castellón/Castelló),13,776,1.68
Espadilla (Castellón/Castelló),7,72,9.72
Fanzara (Castellón/Castelló),7,276,2.54
Figueroles (Castellón/Castelló),30,525,5.71
Forcall (Castellón/Castelló),4,453,0.88
Fuente la Reina (Castellón/Castelló),1,49,2.04
Fuentes de Ayódar (Castellón/Castelló),1,94,1.06
Gaibiel (Castellón/Castelló),10,193,5.18
Geldo (Castellón/Castelló),9,633,1.42
Herbés (Castellón/Castelló),2,49,4.08
Higueras (Castellón/Castelló),2,62,3.23
Jana, la (Castellón/Castelló),3,666,0.45
Jérica (Castellón/Castelló),104,1553,6.7
Llucena/Lucena del Cid (Castellón/Castelló),57,1319,4.32
Ludiente (Castellón/Castelló),4,155,2.58
Llosa, la (Castellón/Castelló),10,940,1.06
Mata de Morella, la (Castellón/Castelló),2,162,1.23
Matet (Castellón/Castelló),6,84,7.14
Moncofa (Castellón/Castelló),522,6278,8.31
Montán (Castellón/Castelló),4,359,1.11
Montanejos (Castellón/Castelló),4,548,0.73
Morella (Castellón/Castelló),20,2437,0.82
Navajas (Castellón/Castelló),76,712,10.67
Nules (Castellón/Castelló),160,13170,1.21
Onda (Castellón/Castelló),1582,24850,6.37
Oropesa del Mar/Orpesa (Castellón/Castelló),736,8830,8.34
Palanques (Castellón/Castelló),2,31,6.45
Pavías (Castellón/Castelló),1,62,1.61
Peníscola/Peñíscola (Castellón/Castelló),1076,7447,14.45
Pina de Montalgrao (Castellón/Castelló),2,114,1.75
Portell de Morella (Castellón/Castelló),2,197,1.02
Puebla de Arenoso (Castellón/Castelló),1,144,0.69
Pobla de Benifassà, la (Castellón/Castelló),13,197,6.6
Pobla Tornesa, la (Castellón/Castelló),73,1208,6.04
Ribesalbes (Castellón/Castelló),23,1180,1.95
Rossell (Castellón/Castelló),23,952,2.42
Sacañet (Castellón/Castelló),2,59,3.39
Salzadella, la (Castellón/Castelló),6,729,0.82
Sant Jordi/San Jorge (Castellón/Castelló),153,935,16.36
Sant Mateu (Castellón/Castelló),22,1974,1.11
San Rafael del Río (Castellón/Castelló),21,462,4.55
Santa Magdalena de Pulpis (Castellón/Castelló),19,761,2.5
Serratella, la (Castellón/Castelló),1,101,0.99
Segorbe (Castellón/Castelló),348,8878,3.92
Sierra Engarcerán (Castellón/Castelló),25,1023,2.44
Soneja (Castellón/Castelló),24,1439,1.67
Sot de Ferrer (Castellón/Castelló),9,428,2.1
Sueras/Suera (Castellón/Castelló),17,520,3.27
Tales (Castellón/Castelló),49,814,6.02
Teresa (Castellón/Castelló),11,249,4.42
Tírig (Castellón/Castelló),4,435,0.92
Todolella (Castellón/Castelló),1,138,0.72
Toga (Castellón/Castelló),2,100,2
Torás (Castellón/Castelló),13,229,5.68
Toro, El (Castellón/Castelló),9,253,3.56
Torralba del Pinar (Castellón/Castelló),2,54,3.7
Torreblanca (Castellón/Castelló),161,5461,2.95
Torrechiva (Castellón/Castelló),2,74,2.7
Torre d'En Besora, la (Castellón/Castelló),4,157,2.55
Traiguera (Castellón/Castelló),13,1375,0.95
Useras/Useres, les (Castellón/Castelló),67,966,6.94
Vallat (Castellón/Castelló),1,49,2.04
Vall d'Alba (Castellón/Castelló),165,2817,5.86
Vall de Almonacid (Castellón/Castelló),7,281,2.49
Vall d'Uixó, la (Castellón/Castelló),245,31552,0.78
Vallibona (Castellón/Castelló),1,75,1.33
Vilafamés (Castellón/Castelló),112,1833,6.11
Villafranca del Cid/Vilafranca (Castellón/Castelló),11,2227,0.49
Villahermosa del Río (Castellón/Castelló),11,462,2.38
Villamalur (Castellón/Castelló),3,63,4.76
Vilanova d'Alcolea (Castellón/Castelló),1,575,0.17
Villanueva de Viver (Castellón/Castelló),2,66,3.03
Vilar de Canes (Castellón/Castelló),1,172,0.58
Vila-real (Castellón/Castelló),1151,50577,2.28
Vilavella, la (Castellón/Castelló),24,3226,0.74
Vinarós (Castellón/Castelló),1596,28438,5.61
Vistabella del Maestrat (Castellón/Castelló),3,342,0.88
Viver (Castellón/Castelló),64,1538,4.16
Zorita del Maestrazgo (Castellón/Castelló),2,112,1.79
Zucaina (Castellón/Castelló),8,172,4.65
Alqueries, les/Alquerías del Niño Perdido (Castellón/Castelló),73,4460,1.64
Sant Joan de Moró (Castellón/Castelló),186,3099,6
Abenójar (Ciudad Real),38,1395,2.72
Agudo (Ciudad Real),43,1687,2.55
Alamillo (Ciudad Real),25,507,4.93
Albaladejo (Ciudad Real),42,1185,3.54
Alcázar de San Juan (Ciudad Real),907,30686,2.96
Alcoba (Ciudad Real),24,602,3.99
Alcolea de Calatrava (Ciudad Real),109,1455,7.49
Alcubillas (Ciudad Real),13,485,2.68
Aldea del Rey (Ciudad Real),79,1660,4.76
Alhambra (Ciudad Real),65,1000,6.5
Almadén (Ciudad Real),68,5461,1.25
Almadenejos (Ciudad Real),11,417,2.64
Almagro (Ciudad Real),377,8922,4.23
Almedina (Ciudad Real),10,526,1.9
Almodóvar del Campo (Ciudad Real),516,6139,8.41
Almuradiel (Ciudad Real),32,799,4.01
Anchuras (Ciudad Real),23,327,7.03
Arenas de San Juan (Ciudad Real),69,1043,6.62
Argamasilla de Alba (Ciudad Real),501,6901,7.26
Argamasilla de Calatrava (Ciudad Real),955,5921,16.13
Arroba de los Montes (Ciudad Real),2,449,0.45
Ballesteros de Calatrava (Ciudad Real),28,387,7.24
Bolaños de Calatrava (Ciudad Real),460,11884,3.87
Brazatortas (Ciudad Real),231,1000,23.1
Cabezarados (Ciudad Real),16,311,5.14
Cabezarrubias del Puerto (Ciudad Real),29,487,5.95
Calzada de Calatrava (Ciudad Real),131,3802,3.45
Campo de Criptana (Ciudad Real),288,13597,2.12
Cañada de Calatrava (Ciudad Real),9,92,9.78
Caracuel de Calatrava (Ciudad Real),12,139,8.63
Carrión de Calatrava (Ciudad Real),204,3080,6.62
Carrizosa (Ciudad Real),18,1225,1.47
Castellar de Santiago (Ciudad Real),52,1918,2.71
Ciudad Real (Ciudad Real),1927,74743,2.58
Corral de Calatrava (Ciudad Real),45,1129,3.99
Cortijos, Los (Ciudad Real),28,882,3.17
Cózar (Ciudad Real),15,973,1.54
Chillón (Ciudad Real),164,1831,8.96
Daimiel (Ciudad Real),1090,18051,6.04
Fernán Caballero (Ciudad Real),181,1022,17.71
Fontanarejo (Ciudad Real),9,261,3.45
Fuencaliente (Ciudad Real),70,1031,6.79
Fuenllana (Ciudad Real),22,217,10.14
Fuente el Fresno (Ciudad Real),161,3253,4.95
Granátula de Calatrava (Ciudad Real),38,731,5.2
Guadalmez (Ciudad Real),32,731,4.38
Herencia (Ciudad Real),237,8425,2.81
Hinojosas de Calatrava (Ciudad Real),74,532,13.91
Horcajo de los Montes (Ciudad Real),35,903,3.88
Labores, Las (Ciudad Real),42,569,7.38
Luciana (Ciudad Real),24,374,6.42
Malagón (Ciudad Real),452,8129,5.56
Manzanares (Ciudad Real),464,18043,2.57
Membrilla (Ciudad Real),225,6016,3.74
Mestanza (Ciudad Real),66,688,9.59
Miguelturra (Ciudad Real),552,15316,3.6
Montiel (Ciudad Real),26,1330,1.95
Moral de Calatrava (Ciudad Real),217,5279,4.11
Navalpino (Ciudad Real),19,219,8.68
Navas de Estena (Ciudad Real),16,223,7.17
Pedro Muñoz (Ciudad Real),248,7385,3.36
Picón (Ciudad Real),79,654,12.08
Piedrabuena (Ciudad Real),389,4459,8.72
Poblete (Ciudad Real),241,2571,9.37
Porzuna (Ciudad Real),162,3571,4.54
Pozuelo de Calatrava (Ciudad Real),277,3443,8.05
Pozuelos de Calatrava, Los (Ciudad Real),16,370,4.32
Puebla de Don Rodrigo (Ciudad Real),57,1200,4.75
Puebla del Príncipe (Ciudad Real),14,701,2
Puerto Lápice (Ciudad Real),66,937,7.04
Puertollano (Ciudad Real),481,47881,1
Retuerta del Bullaque (Ciudad Real),85,978,8.69
Saceruela (Ciudad Real),6,577,1.04
San Carlos del Valle (Ciudad Real),49,1128,4.34
San Lorenzo de Calatrava (Ciudad Real),5,213,2.35
Santa Cruz de los Cáñamos (Ciudad Real),5,523,0.96
Santa Cruz de Mudela (Ciudad Real),122,4154,2.94
Socuéllamos (Ciudad Real),281,12268,2.29
Solana, La (Ciudad Real),287,15523,1.85
Solana del Pino (Ciudad Real),25,333,7.51
Terrinches (Ciudad Real),7,697,1
Tomelloso (Ciudad Real),421,36091,1.17
Torralba de Calatrava (Ciudad Real),147,2959,4.97
Torre de Juan Abad (Ciudad Real),73,1018,7.17
Torrenueva (Ciudad Real),91,2752,3.31
Valdemanco del Esteras (Ciudad Real),20,169,11.83
Valdepeñas (Ciudad Real),966,30210,3.2
Valenzuela de Calatrava (Ciudad Real),27,692,3.9
Villahermosa (Ciudad Real),54,1854,2.91
Villamanrique (Ciudad Real),21,1180,1.78
Villamayor de Calatrava (Ciudad Real),191,602,31.73
Villanueva de la Fuente (Ciudad Real),62,2123,2.92
Villanueva de los Infantes (Ciudad Real),181,5030,3.6
Villanueva de San Carlos (Ciudad Real),25,295,8.47
Villar del Pozo (Ciudad Real),6,86,6.98
Villarrubia de los Ojos (Ciudad Real),443,9902,4.47
Villarta de San Juan (Ciudad Real),51,2845,1.79
Viso del Marqués (Ciudad Real),97,2363,4.1
Robledo, El (Ciudad Real),88,1111,7.92
Ruidera (Ciudad Real),65,548,11.86
Arenales de San Gregorio (Ciudad Real),46,595,7.73
Llanos del Caudillo (Ciudad Real),9,719,1.25
Adamuz (Córdoba),191,4185,4.56
Aguilar de la Frontera (Córdoba),482,13438,3.59
Alcaracejos (Córdoba),225,1473,15.27
Almedinilla (Córdoba),165,2409,6.85
Almodóvar del Río (Córdoba),832,7964,10.45
Añora (Córdoba),225,1524,14.76
Baena (Córdoba),581,19338,3
Belalcázar (Córdoba),97,3273,2.96
Belmez (Córdoba),122,2964,4.12
Benamejí (Córdoba),83,4975,1.67
Blázquez, Los (Córdoba),19,681,2.79
Bujalance (Córdoba),113,7537,1.5
Cabra (Córdoba),1107,20417,5.42
Cañete de las Torres (Córdoba),54,2969,1.82
Carcabuey (Córdoba),168,2454,6.85
Cardeña (Córdoba),69,1503,4.59
Carlota, La (Córdoba),1118,14067,7.95
Carpio, El (Córdoba),114,4457,2.56
Castro del Río (Córdoba),215,7834,2.74
Conquista (Córdoba),6,401,1.5
Córdoba (Córdoba),11300,325708,3.47
Doña Mencía (Córdoba),73,4684,1.56
Dos Torres (Córdoba),100,2416,4.14
Encinas Reales (Córdoba),94,2285,4.11
Espejo (Córdoba),60,3333,1.8
Espiel (Córdoba),54,2438,2.21
Fernán-Núñez (Córdoba),260,9668,2.69
Fuente la Lancha (Córdoba),8,350,2.29
Fuente Obejuna (Córdoba),188,4651,4.04
Fuente Palmera (Córdoba),407,10817,3.76
Fuente-Tójar (Córdoba),18,680,2.65
Granjuela, La (Córdoba),9,456,1.97
Guadalcázar (Córdoba),92,1578,5.83
Guijo, El (Córdoba),14,353,3.97
Hinojosa del Duque (Córdoba),321,6868,4.67
Hornachuelos (Córdoba),512,4541,11.28
Iznájar (Córdoba),367,4343,8.45
Lucena (Córdoba),1555,42530,3.66
Luque (Córdoba),141,3037,4.64
Montalbán de Córdoba (Córdoba),91,4429,2.05
Montemayor (Córdoba),342,3874,8.83
Montilla (Córdoba),1022,23031,4.44
Montoro (Córdoba),353,9436,3.74
Monturque (Córdoba),51,1964,2.6
Moriles (Córdoba),111,3726,2.98
Nueva Carteya (Córdoba),180,5393,3.34
Obejo (Córdoba),127,1990,6.38
Palenciana (Córdoba),36,1481,2.43
Palma del Río (Córdoba),552,21159,2.61
Pedro Abad (Córdoba),87,2834,3.07
Pedroche (Córdoba),64,1529,4.19
Peñarroya-Pueblonuevo (Córdoba),166,10870,1.53
Posadas (Córdoba),324,7343,4.41
Pozoblanco (Córdoba),277,17222,1.61
Priego de Córdoba (Córdoba),913,22585,4.04
Puente Genil (Córdoba),833,30241,2.75
Rambla, La (Córdoba),431,7508,5.74
Rute (Córdoba),379,9857,3.84
San Sebastián de los Ballesteros (Córdoba),60,814,7.37
Santaella (Córdoba),134,6014,2.23
Santa Eufemia (Córdoba),21,768,2.73
Torrecampo (Córdoba),62,1063,5.83
Valenzuela (Córdoba),41,1157,3.54
Valsequillo (Córdoba),4,368,1.09
Victoria, La (Córdoba),104,2284,4.55
Villa del Río (Córdoba),59,7200,0.82
Villafranca de Córdoba (Córdoba),285,4861,5.86
Villaharta (Córdoba),52,643,8.09
Villanueva de Córdoba (Córdoba),216,8774,2.46
Villanueva del Duque (Córdoba),141,1494,9.44
Villanueva del Rey (Córdoba),45,1068,4.21
Villaralto (Córdoba),34,1154,2.95
Villaviciosa de Córdoba (Córdoba),262,3298,7.94
Viso, El (Córdoba),89,2568,3.47
Zuheros (Córdoba),31,641,4.84
Abegondo (Coruña, A),216,5454,3.96
Ames (Coruña, A),419,31278,1.34
Aranga (Coruña, A),16,1894,0.84
Ares (Coruña, A),110,5671,1.94
Arteixo (Coruña, A),211,31917,0.66
Arzúa (Coruña, A),38,6053,0.63
Baña, A (Coruña, A),24,3505,0.68
Bergondo (Coruña, A),498,6602,7.54
Betanzos (Coruña, A),130,12916,1.01
Boimorto (Coruña, A),16,2022,0.79
Boiro (Coruña, A),69,18844,0.37
Boqueixón (Coruña, A),98,4215,2.33
Brión (Coruña, A),170,7748,2.19
Cabana de Bergantiños (Coruña, A),29,4337,0.67
Cabanas (Coruña, A),68,3318,2.05
Camariñas (Coruña, A),19,5322,0.36
Cambre (Coruña, A),586,24603,2.38
Capela, A (Coruña, A),12,1238,0.97
Carballo (Coruña, A),169,31261,0.54
Carnota (Coruña, A),11,4031,0.27
Carral (Coruña, A),142,6294,2.26
Cedeira (Coruña, A),42,6794,0.62
Cee (Coruña, A),15,7576,0.2
Cerceda (Coruña, A),72,5023,1.43
Cerdido (Coruña, A),9,1126,0.8
Coirós (Coruña, A),60,1824,3.29
Corcubión (Coruña, A),12,1578,0.76
Coristanco (Coruña, A),27,6177,0.44
Coruña, A (Coruña, A),253,244850,0.1
Culleredo (Coruña, A),426,30221,1.41
Curtis (Coruña, A),16,3958,0.4
Dodro (Coruña, A),32,2791,1.15
Dumbría (Coruña, A),4,3040,0.13
Fene (Coruña, A),95,13013,0.73
Ferrol (Coruña, A),286,66799,0.43
Fisterra (Coruña, A),19,4701,0.4
Frades (Coruña, A),13,2385,0.55
Irixoa (Coruña, A),30,1333,2.25
Laxe (Coruña, A),9,3084,0.29
Laracha, A (Coruña, A),89,11302,0.79
Lousame (Coruña, A),26,3386,0.77
Malpica de Bergantiños (Coruña, A),30,5447,0.55
