name,Piscinas,Habitantes,Piscinas por cada 100 habitantes
Vallirana (Barcelona),1954,14877,13.13
Vallromanes (Barcelona),479,2530,18.93
Veciana (Barcelona),8,170,4.71
Vic (Barcelona),128,45040,0.28
Vilada (Barcelona),14,430,3.26
Viladecavalls (Barcelona),666,7480,8.9
Viladecans (Barcelona),726,66168,1.1
Vilanova del Camí (Barcelona),55,12361,0.44
Vilanova de Sau (Barcelona),18,308,5.84
Vilobí del Pened√®s (Barcelona),78,1106,7.05
Vilafranca del Pened√®s (Barcelona),188,40055,0.47
Vilalba Sasserra (Barcelona),30,688,4.36
Vilanova i la Geltrú (Barcelona),1443,66274,2.18
Viver i Serrateix (Barcelona),13,164,7.93
Rupit i Pruit (Barcelona),20,279,7.17
Vilanova del Vall√®s (Barcelona),705,5339,13.2
Sant Julià de Cerdanyola (Barcelona),6,244,2.46
Badia del Vall√®s (Barcelona),3,13417,0.02
Palma de Cervelló, La (Barcelona),100,2982,3.35
Aguas Cándidas (Burgos),3,57,5.26
Albillos (Burgos),3,214,1.4
Altable (Burgos),2,53,3.77
Altos, Los (Burgos),2,186,1.08
Ameyugo (Burgos),9,105,8.57
Anguix (Burgos),2,135,1.48
Aranda de Duero (Burgos),378,32523,1.16
Arandilla (Burgos),2,161,1.24
Arauzo de Miel (Burgos),1,326,0.31
Arauzo de Salce (Burgos),2,56,3.57
Arauzo de Torre (Burgos),1,73,1.37
Arcos (Burgos),36,1684,2.14
Arija (Burgos),2,126,1.59
Arlanzón (Burgos),13,408,3.19
Atapuerca (Burgos),5,172,2.91
Ausines, Los (Burgos),7,129,5.43
Balbases, Los (Burgos),3,311,0.96
Baños de Valdearados (Burgos),2,342,0.58
Barbadillo del Mercado (Burgos),9,143,6.29
Barbadillo del Pez (Burgos),2,67,2.99
Barrios de Bureba, Los (Burgos),12,194,6.19
Barrios de Colina (Burgos),2,53,3.77
Basconcillos del Tozo (Burgos),2,285,0.7
Bascuñana (Burgos),2,25,8
Belorado (Burgos),11,1816,0.61
Berberana (Burgos),5,55,9.09
Berlangas de Roa (Burgos),10,184,5.43
Brazacorta (Burgos),1,55,1.82
Briviesca (Burgos),43,6675,0.64
Buniel (Burgos),6,543,1.1
Burgos (Burgos),168,175921,0.1
Busto de Bureba (Burgos),3,149,2.01
Cabañes de Esgueva (Burgos),4,169,2.37
Cavia (Burgos),1,233,0.43
Caleruega (Burgos),5,433,1.15
Campillo de Aranda (Burgos),4,162,2.47
Canicosa de la Sierra (Burgos),1,470,0.21
Cantabrana (Burgos),2,27,7.41
Carcedo de Bureba (Burgos),1,44,2.27
Carcedo de Burgos (Burgos),9,411,2.19
Cardeñadijo (Burgos),30,1313,2.28
Cardeñajimeno (Burgos),96,1101,8.72
Cardeñuela Riopico (Burgos),2,112,1.79
Cascajares de Bureba (Burgos),2,33,6.06
Castrillo de la Vega (Burgos),21,632,3.32
Castrillo del Val (Burgos),103,792,13.01
Castrojeriz (Burgos),14,803,1.74
Cayuela (Burgos),7,177,3.95
Celada del Camino (Burgos),2,115,1.74
